date,index,atm_iv,iv_rank,action,sold_C,sold_P,premium,n_pos,gamma,delta,vega,nav,r
2022-10-10,5984.501,0.29917449190591666,96.0,sell,40,46,1072160.0,5,-5093228.946966724,-8544.079432670635,-6683794.289175135,99933317.54535575,0.0
2022-10-11,6017.719,0.28612921137699854,90.19607843137256,sell,33,44,860860.0,7,-9367803.4517237,-8451.251010657388,-10207504.259694377,99933317.54535575,0.0
2022-10-12,6192.653,0.26559045478250587,75.0,hold,0,0,0.0,7,-9557684.333435792,-4169.661819437113,-13172450.726428874,99933317.54535575,0.0
2022-10-13,6252.223,0.2621730324331623,73.58490566037736,hold,0,0,0.0,7,-9444995.211504016,-2622.4507615880607,-12485473.209614875,99933317.54535575,0.0
2022-10-14,6406.457,0.23761833199046442,55.55555555555556,hold,0,0,0.0,7,-9698815.180810018,1112.1476538612578,-11954064.885934,99933317.54535575,0.0
2022-10-17,6472.451,0.27961870931237176,89.0909090909091,sell,18,24,318000.0,9,-14803910.107870918,2830.2257501519175,-10358868.401673185,99933317.54535575,0.0
2022-10-18,6508.504,0.17964461368682377,17.857142857142858,hold,0,0,0.0,9,-14972872.121279545,2360.6120209615383,-11566958.776437437,99933317.54535575,0.0
2022-10-19,6461.146,0.19986719757339258,29.82456140350877,hold,0,0,0.0,9,-14754432.86828345,2290.775686244935,-11383151.490408123,99933317.54535575,0.0
2022-10-20,6429.704,0.24012899444133962,56.896551724137936,hold,0,0,0.0,9,-14610299.9707273,2242.9434839212117,-11245620.170720601,99933317.54535575,0.0
2022-10-21,6432.326,0.1900492695953358,22.033898305084744,hold,0,0,0.0,1,-574213.6689612236,-3264.2381809717604,-7534771.536459973,100069022.91716622,0.001357959238658113
2022-10-24,6378.432,0.2649029574429409,75.0,hold,0,0,0.0,1,-563825.1964910709,-3352.5618480435023,-7247466.21092978,100069022.91716622,0.0
2022-10-25,6355.778,0.2701025488861173,78.68852459016394,hold,0,0,0.0,1,-558709.8571197232,-3388.645964032377,-7131840.112507724,100069022.91716622,0.0
2022-10-26,6491.692,0.25090868733729127,66.12903225806451,hold,0,0,0.0,1,-597014.5120652932,-3202.7900176289572,-7567500.522163883,100069022.91716622,0.0
2022-10-27,6461.61,0.24613766717938623,58.730158730158735,hold,0,0,0.0,1,-590765.6458591935,-3249.794436730699,-7435558.11301178,100069022.91716622,0.0
2022-10-28,6239.932,0.2587486929462064,71.875,hold,0,0,0.0,1,-526964.992971591,-3562.299364258714,-6585504.158003933,100069022.91716622,0.0
