date,nav,strat_ret,iv,iv_otm,rv20,ret
2019-12-24,,,0.13970000000000002,0.16970000000000002,0.1333489234820091,0.006497968732078104
2019-12-25,1000.4690110305496,0.000469011030549643,0.138,0.168,0.1333489234820091,-0.000523809088453203
2019-12-26,1000.4411906375716,-2.7807351023743167e-05,0.1349,0.1649,0.1333489234820091,0.008761846057126607
2019-12-27,1000.8658155119749,0.0004244376165005784,0.1383,0.1683,0.1333489234820091,-0.0009840935504067635
2019-12-30,999.9590482968712,-0.000905982801140991,0.15380000000000002,0.18380000000000002,0.1333489234820091,0.014710900400587059
2019-12-31,1000.47022255409,0.0005111951915323605,0.1611,0.1911,0.1333489234820091,0.003655814049744736
2020-01-02,999.985355738527,-0.0004846389274087448,0.16760000000000003,0.19760000000000003,0.1333489234820091,0.013495221007922699
2020-01-03,1000.6931596223604,0.0007078142492505118,0.1656,0.1956,0.1333489234820091,-0.0017538438517885827
2020-01-06,1001.3106389438764,0.0006170516062576845,0.1837,0.2137,0.1333489234820091,-0.0037876544207956437
2020-01-07,1001.8530256470825,0.0005416767605489425,0.18780000000000002,0.21780000000000002,0.1333489234820091,0.0074629498696334486
2020-01-08,1001.9442402918311,9.10459342971667e-05,0.1856620872,0.2156620872,0.1333489234820091,-0.011583023470962453
2020-01-09,1001.8602530121187,-8.382430512084824e-05,0.17670000000000002,0.20670000000000002,0.1333489234820091,0.012578387052420198
2020-01-10,1002.680558496131,0.0008187823416946447,0.16963734490000001,0.1996373449,0.1333489234820091,-0.0002845973417161902
2020-01-13,1002.8284800114325,0.00014752606305961123,0.16579999999999998,0.19579999999999997,0.1333489234820091,0.009753192254408884
2020-01-14,1003.4685715478266,0.0006382861567581936,0.1627395412,0.1927395412,0.1333489234820091,-0.0033600726595926144
2020-01-15,1003.9563492958467,0.0004860917041653427,0.1583901157,0.1883901157,0.1333489234820091,-0.005541010417105986
2020-01-16,1004.4824897326565,0.000524067044527235,0.1482896701,0.1782896701,0.1333489234820091,-0.004254810269430091
2020-01-17,1005.0180811844451,0.0005332013820679559,0.1420252926,0.1720252926,0.1333489234820091,0.001399343380041611
2020-01-20,1005.1614443009895,0.0001426473008080707,0.159,0.189,0.1333489234820091,0.007427963016599622
2020-01-21,1003.9258598531388,-0.0012292397951157005,0.18448177340000002,0.21448177340000002,0.1333489234820091,-0.017234113843992385
2020-01-22,1004.7150612791909,0.0007861152477607394,0.1592224081,0.1892224081,0.1325458015917936,0.004273954390029835
2020-01-23,999.0863727129777,-0.005602273503342232,0.1926262782,0.2226262782,0.17740916053333852,-0.03147571631024872
2020-02-03,957.6162521197086,-0.041508043474418214,0.34969556490000003,0.3796955649,0.33874428435758047,-0.08208776330585395
2020-02-04,956.7389331130651,-0.0009161488275722092,0.24532141,0.27532141,0.3554969752279188,0.026033060223713655
2020-02-05,957.5489819076981,0.0008466769424730577,0.2257075777,0.25570757769999997,0.3534210934501423,0.01126570112611922
2020-02-06,956.8233393639188,-0.0007578124539735663,0.23265296729999999,0.2626529673,0.36103843272183905,0.01843872524709007
2020-02-07,958.23613832136,0.0014765515213921267,0.24789999999999998,0.2779,0.3562769296542282,2.4103664219655947e-05
2020-02-10,959.7456482717906,0.0015753005862154707,0.2290711996,0.2590711996,0.35719026738297477,0.004129038652660548
2020-02-11,960.5980420447404,0.0008881454940531429,0.21132413069999997,0.24132413069999997,0.35972837834935334,0.009267180420094315
2020-02-12,961.364823377389,0.0007982332870639141,0.1989,0.2289,0.359945443996302,0.0080558366549316
2020-02-13,962.1542062849444,0.0008211065022975263,0.2081703761,0.2381703761,0.358576165244693,-0.006171448043811738
2020-02-14,962.9823146633145,0.0008606815549533054,0.1996595525,0.2296595525,0.3561294474307289,0.006999579263002864
2020-02-17,961.0080954304374,-0.0020501095428396435,0.2060840697,0.2360840697,0.3665338569507495,0.022242266692727816
2020-02-18,961.9631043920596,0.0009937574575731465,0.2036457648,0.2336457648,0.3644949648482026,-0.004895685035575056
2020-02-19,963.022712824089,0.0011015063126553009,0.21073375179999998,0.24073375179999998,0.3644471798911918,-0.001529198990481886
2020-02-20,961.0271238925102,-0.002072213775443164,0.2131795867,0.2431795867,0.3742033483086539,0.022779261145765704
2020-02-21,962.2009792767592,0.001221459160792768,0.24307532869999998,0.27307532869999995,0.37393150222935484,0.0011656415373777192
2020-02-24,963.6580705893583,0.0015143315627202285,0.2566285289,0.2866285289,0.3741584128696279,-0.0040208551081310825
2020-02-25,965.3697922491533,0.0017762749174591423,0.2566064503,0.2866064503,0.3730907501629322,-0.0021764170102174935
2020-02-26,966.176218780505,0.000835355050288956,0.25671142929999996,0.28671142929999993,0.37064580085087506,-0.012404651557613057
2020-02-27,967.870901458357,0.0017540099258403247,0.2243659955,0.2543659955,0.37044388218009416,0.0029078614454918915
2020-02-28,961.2418713491969,-0.006849085037241721,0.2593762678,0.28937626780000003,0.3758818476912439,-0.03609821311335231
2020-03-02,956.664617324661,-0.004761812984812423,0.23958000599999998,0.269580006,0.24405557294643357,0.03236777242428254
2020-03-03,957.994885828865,0.001390527547599895,0.23790067359999997,0.26790067359999997,0.2310148280481816,0.005316989750022409
2020-03-04,959.2747695475031,0.0013360026630316536,0.23733274389999998,0.26733274389999995,0.22950463807973243,0.005773548789171297
2020-03-05,957.8137281056056,-0.0015230687684891391,0.2622991655,0.2922991655,0.23291433736872014,0.022032964482575728
2020-03-06,958.0076563151422,0.00020246964920847034,0.2493813961,0.2793813961,0.24343767555269294,-0.016349340450807406
2020-03-09,952.3401896880073,-0.005915888656813114,0.3053816187,0.33538161870000005,0.2777038157323103,-0.034757740644172794
2020-03-10,952.0863561594668,-0.00026653661295502837,0.2943077233,0.3243077233,0.2855112825618788,0.021189018040099494
2020-03-11,953.2779004173357,0.0012515085949507622,0.29755301,0.32755301000000003,0.2892252704397916,-0.013389898518067397
2020-03-12,953.3295012677256,5.412991360382886e-05,0.322,0.352,0.2970352833123904,-0.019430288421095027
2020-03-13,954.8398179908321,0.001584254679098983,0.39174477150000003,0.4217447715,0.29980467092883195,-0.014172149703503105
2020-03-16,947.2220051582318,-0.007978105530443397,0.4158329507,0.44583295069999995,0.32244546151777964,-0.043945058081852534
2020-03-17,951.5548393745237,0.00457425417979812,0.4261297715,0.4561297715,0.3224452457242437,-0.004882818787435796
2020-03-18,953.8732953796443,0.0024364922642236345,0.37376533619999996,0.4037653362,0.3268332291361558,-0.019991302774370612
2020-03-19,956.5013778632115,0.0027551693671443115,0.3885255535,0.4185255535,0.3101768918134982,-0.013055331545384062
2020-03-20,958.5632568992437,0.0021556466971731194,0.35297285850000004,0.38297285850000007,0.3214474639688802,0.01771054105644333
2020-03-23,954.7605452610122,-0.003967095140421482,0.39793449729999997,0.4279344973,0.33606923366572233,-0.034225512656000795
2020-03-24,954.6686060425836,-9.629557786489438e-05,0.3752313898,0.40523138979999995,0.3572717313517896,0.02650145920073134
2020-03-25,954.1206292204712,-0.0005739969017983034,0.3563,0.3863,0.3749341719203532,0.026514309083007354
2020-03-26,957.183766185386,0.0032104294479172847,0.3468827137,0.37688271370000004,0.3739603688636616,-0.006595478567467344
2020-03-27,960.2836610989596,0.0032385577598410273,0.35779337419999996,0.38779337419999993,0.3561848700647361,0.0032434760757832433
2020-03-30,963.0836050018145,0.002915746686401579,0.3479054112,0.3779054112,0.3312028091963618,-0.009737119893473516
2020-03-31,966.2200557417117,0.003256675457465826,0.32253351739999997,0.35253351739999994,0.3304275956650536,0.003272710728092201
2020-04-01,968.9286200172094,0.0028032581805791648,0.3062396787,0.33623967870000004,0.32801566904565765,-0.003010096644236125
2020-04-02,969.8541112605543,0.0009551696835299254,0.2950406506,0.3250406506,0.32194769948394153,0.016048429034829618
2020-04-03,971.9757515452573,0.002187587040225426,0.3047086352,0.33470863520000005,0.3195976214232877,-0.00572335565518513
2020-04-07,971.3321509026775,-0.000662157097598842,0.2794473173,0.30944731729999997,0.31456111828550687,0.02258125549799716
2020-04-08,973.2838689460485,0.002009320953246882,0.2658444477,0.29584444769999996,0.301806365225728,-0.004664866292788918
2020-04-09,975.1059935548474,0.0018721409723681983,0.25261205870000003,0.28261205870000006,0.30061758571813973,0.00329215752565683
2020-04-10,976.5711156319987,0.0015025259682898632,0.2376,0.2676,0.2946525541352837,-0.006250492282495496
2020-04-13,977.9668316126858,0.0014292005552342343,0.2187798509,0.2487798509,0.2914603142076742,-0.0042329441922610515
2020-04-14,976.9830101474012,-0.0010059865360283631,0.2140711306,0.2440711306,0.2542694355744378,0.019117199321859242
2020-04-15,977.8547710751112,0.0008922989639077233,0.21998532659999998,0.24998532659999997,0.25525125141016153,-0.007434580550368128
2020-04-16,979.1289414809728,0.0013030262197940691,0.21886,0.24886,0.24272238858600137,0.0013208343307609927
2020-04-17,979.8194014659275,0.0007051777919160235,0.21678,0.24678,0.23709018402132465,0.009711314464115777
2020-04-20,980.9863755549246,0.0011910093709627376,0.22,0.25,0.23098562314456272,0.0036313845469290265
2020-04-21,981.4062669622556,0.0004280298053003825,0.21855,0.24855,0.1943359838350413,-0.01185368918219827
2020-04-22,982.2625820040729,0.0008725387952411049,0.21681,0.24681,0.17595082943980006,0.008195217316430149
2020-04-23,983.4754517861802,0.0012347714392548215,0.20507,0.23507,0.1528733295935153,-0.0025113663550457594
2020-04-24,984.1313249968465,0.0006668933215110004,0.20392,0.23392,0.15442195547035475,-0.008596403271658686
2020-04-27,984.9484533111748,0.0008303041408939712,0.19851,0.22851,0.1555086263519784,0.006771122158054267
2020-04-28,985.6956533912969,0.0007586184613116364,0.20061,0.23061,0.15069880647693282,0.006876536172730594
2020-04-29,986.627576250414,0.0009454468586837905,0.20824,0.23824,0.1508897965912394,0.004635722429178227
2020-04-30,986.9293258608433,0.0003058394248172371,0.22821999999999998,0.25822,0.15292835396058088,0.011708948444179855
2020-05-06,988.1029750529044,0.0011891927428922754,0.21588000000000002,0.24588000000000002,0.14566820048119053,0.0060332734444036315
2020-05-07,989.2989833986661,0.001210408607157249,0.20382,0.23382,0.14384891336514136,-0.002889910344013837
2020-05-08,989.8037926941274,0.0005102696999920765,0.19701000000000002,0.22701000000000002,0.12664335750844236,0.009818654412656141
2020-05-11,990.8282302899809,0.001034990574308737,0.19982,0.22982,0.12464148026499765,-0.0008687749180237707
2020-05-12,991.8902762540667,0.001071876972838117,0.20283,0.23283,0.12484651273465965,1.4645691679626245e-05
2020-05-13,992.9624597821606,0.001080949731802155,0.20201,0.23201,0.12084441567193938,0.002021823000187269
2020-05-14,993.3073254518206,0.0003473098768865078,0.19846,0.22846,0.1279397501428232,-0.010904056377404974
2020-05-15,994.2937979504707,0.0009931191217194438,0.19364,0.22364,0.11246691701039453,-0.0031645717153048164
2020-05-18,995.2481817631914,0.0009598609733742589,0.18779,0.21779,0.10788114019185503,0.0025769157854558284
2020-05-19,995.7313384623742,0.0004854635336553469,0.18539999999999998,0.21539999999999998,0.11055802850123397,0.008462371746919157
2020-05-20,996.4602881742641,0.000732074690965727,0.18413000000000002,0.21413000000000001,0.10950001527922486,-0.005329309859794903
2020-05-21,997.1673190608868,0.0007095424624682208,0.19683,0.22683,0.11159245637059306,-0.005459805534190546
2020-05-22,994.8188931593572,-0.0023550971403087278,0.2,0.23,0.13368845347292319,-0.023193760065587293
2020-05-25,995.8754196539902,0.0010620289802475362,0.19890999999999998,0.22890999999999997,0.1304377884727725,0.0013748160007702689
2020-05-26,996.133093982107,0.00025874152833932807,0.19486,0.22486,0.13616245459270385,0.01128146582839562
2020-05-27,996.833520667606,0.0007031456837751132,0.20865999999999998,0.23865999999999998,0.1348781154738211,-0.007036735164719624
2020-05-28,997.9538642244273,0.0011239023704489803,0.20712,0.23712,0.13322332367856043,0.0028609856178088097
2020-05-29,999.0631171368508,0.001111527248091196,0.2116,0.2416,0.13135695025947738,0.002690696637564682
2020-06-01,995.8082724951532,-0.003257896909482026,0.19017,0.22017,0.16097104544870294,0.026618608863711878
2020-06-02,996.7080743337432,0.0009035894392957402,0.18411000000000002,0.21411000000000002,0.156441795361041,0.003074330873741843
2020-06-03,997.6024515267528,0.0008973311404219639,0.19251000000000001,0.22251,0.15527616881257097,2.0082297254712437e-05
2020-06-04,998.5883555449054,0.0009882734516577444,0.19030000000000002,0.22030000000000002,0.15478193118396855,-0.0003673187766928507
2020-06-05,999.4079436114142,0.0008207466689930984,0.18469999999999998,0.21469999999999997,0.15185991720577066,0.004776398595192341
2020-06-08,1000.1431807146728,0.0007356726629586057,0.18408999999999998,0.21408999999999997,0.15265984406141805,0.00516104060061397
2020-06-09,1000.7967872290498,0.0006535129439267551,0.18821000000000002,0.21821000000000002,0.15383281845556643,0.006214928845464772
2020-06-10,1001.7185229661089,0.0009210018945117627,0.18963999999999998,0.21963999999999997,0.15412432663270456,-0.0018113621648798517
2020-06-11,1001.9260147005062,0.00020713576682491677,0.19463,0.22463,0.15412689671816232,-0.010906587911591601
2020-06-12,1002.9203466082597,0.0009924204912979977,0.19149000000000002,0.22149000000000002,0.1533995086006848,0.001799732651232668
2020-06-15,1002.9768523768146,5.634123262725064e-05,0.20449,0.23449,0.1602563236758776,-0.012087247163637413
2020-06-16,1002.692038940455,-0.00028396810523040463,0.18749,0.21749,0.16613147681447743,0.014952676201206277
2020-06-17,1003.6248113090878,0.0009302680508149082,0.19077000000000002,0.22077000000000002,0.16458405238843934,0.0007529727089427049
2020-06-18,1004.3185627554224,0.0006912458107023591,0.19118,0.22118,0.16385532788952817,0.006646036148696554
2020-06-19,1004.1694164154667,-0.00014850501174289214,0.19541,0.22541,0.13999706893855804,0.013343037916360625
2020-06-22,1005.191118170288,0.0010174595423034808,0.20918,0.23918,0.1401224790566015,0.0008135835730300001
2020-06-23,1006.2327717112119,0.0010362741195127437,0.21295999999999998,0.24295999999999998,0.1371697621984198,0.004802631850263513
2020-06-24,1007.3577794365111,0.0011180392419400224,0.2134,0.2434,0.13183241717776648,0.00416329124164793
2020-06-29,1008.2794837857498,0.0009149721857058864,0.195,0.225,0.1372760848426311,-0.007097870357200192
2020-06-30,1008.2113637158066,-6.756070220481861e-05,0.18711,0.21711,0.14169974500834615,0.013113578818254267
2020-07-01,1006.623021615713,-0.001575405869499051,0.19544,0.22544,0.1287478534524763,0.019929930007026368
2020-07-02,1004.978762275089,-0.001633441025404837,0.226,0.256,0.14239406351371808,0.020519081076690624
2020-07-03,1004.0559027008973,-0.0009182876383403787,0.24577000000000002,0.27577,0.1507995984825867,0.019131772931266538
2020-07-06,986.4687011113133,-0.017516157758023995,0.33841,0.36841,0.23100752252820964,0.05513112488912578
